주소이름,제목,분류,요약,기간,대표 사진,사진
uptranding-1,제 1회 UPTRANDING,세미나,학번제로 진행된 동아리 자체 게임잼입니다.,2025.09.20 ~ 2025.09.21,,"발표 현장 |
시연 부스 |"
study-2025,파트별 정기 스터디,스터디,엔진 입문부터 C++ 심화까지 파트별로 진행했습니다.,2025.03 ~ 2025.06,,스터디 현장 |
gamejam-winter,겨울 내부 게임잼,게임잼,48시간 동안 7개 팀이 참가해 6개 팀이 완주했습니다.,2026.01.03 ~ 2026.01.05,,"밤샘 개발 |
결과 발표 |"
gstar-2025-booth,지스타 2025 부스,외부행사,벡스코 인디 쇼케이스에서 3개 타이틀을 시연했습니다.,2025.11.13 ~ 2025.11.16,,"부스 전경 |
시연 대기줄 |"
conference-2025,현업 선배 컨퍼런스,컨퍼런스,게임 업계에 진출한 선배들의 직무 이야기를 들었습니다.,2025.05.24,,발표 세션 |
ggj-2026,Global Game Jam 2026,외부행사,부산 오프라인 현장에서 48시간 해커톤에 참가했습니다.,2026.01.30 ~ 2026.02.01,,현장 개발 |
orientation-2026,2026 신입 오리엔테이션,세미나,신입 부원 파트 배정과 첫 모임을 진행했습니다.,2026.03.18,,오리엔테이션 |
mentoring-cs,Computer Science 멘토링,스터디,자체 교재로 C++ 메모리 구조와 최적화를 다뤘습니다.,2024.10 ~ 2025.02,,멘토링 현장 |
